message,target
to be really awful ,0
hard-to-predict and absolutely essential ,0
to have fun with it ,0
bizarre ,0
"an intimate feeling , a saga of the ups and downs of friendships ",0
a good-hearted ensemble comedy ,0
is often preachy and poorly acted ,0
re-voiced version ,0
"'s just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain . ",0
to drag on for nearly three hours ,0
"a fairly slow paced , almost humdrum approach to character development ",0
misguided project ,0
whatever flaws igby goes down may possess ,0
"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ? ",0
the tortured husband ,0
"bleed it almost completely dry of humor , verve and fun ",0
is ) looking down at your watch and realizing serving sara is n't even halfway through ,0
laughs are lacking ,0
asset ,0
should 've been so much more even if it was only made for teenage boys and wrestling fans ,0
songbird britney spears has popped up with more mindless drivel ,0
distinguished actor ,0
moving experience ,0
so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama ,0
", personal film ",0
's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,0
should scare any sane person away . ,0
terrific casting ,0
you do n't want to think too much about what 's going on ,0
comes off like a particularly amateurish episode of bewitched that takes place during spring break . ,0
funniest and most likeable ,0
of the war ,0
"create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior ",0
its visual merits ,0
great team ,0
... a true delight . ,0
many genuine cackles ,0
"this painfully forced , false and fabricated ",0
goes on for too long and bogs down in a surfeit of characters and unnecessary subplots . ,0
is a film for the under-7 crowd ,0
handled with intelligence and care ,0
presiding over the end of cinema as we know it and ,0
", it does so without compromising that complexity . ",0
squirming ,0
wo n't enjoy the movie at all ,0
"an uncomfortable experience , but one as brave and challenging as you could possibly expect these days from american cinema . ",0
groan ,0
to a moving tragedy with some buoyant human moments ,0
languishing ,0
already obscure ,0
it 's a very tasteful rock and roll movie . ,0
interesting characters ,0
i like my christmas movies with more elves and snow and less pimps and ho 's . ,0
"watching this film , what we feel is n't mainly suspense or excitement . ",0
a painless time-killer ,0
embody the worst excesses of nouvelle vague without any of its sense of fun or energy ,0
a high-powered star pedigree ,0
broad cross-section ,0
a thoughtful and unflinching examination of an alternative lifestyle ,0
get you down ,0
charming and evoking ,0
might more accurately be titled mr. chips off the old block ,0
is pushed into the margins by predictable plotting and tiresome histrionics . ,0
an attention to detail ,0
viewed and treasured ,0
bad clive barker movie ,0
life and love ,0
a terrible adaptation ,0
the movie rising above similar fare ,0
's hard to imagine a more generic effort in the genre . ,0
's unfocused and tediously exasperating ,0
"director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , ",0
blue crush is as predictable as the tides . ,0
"features nonsensical and laughable plotting , wooden performances , ineptly directed action sequences and some of the worst dialogue in recent memory . ",0
the film 's hero is a bore and ,0
so uncool the only thing missing is the `` gadzooks ! '' ,0
"sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit . ",0
a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff . ,0
"hey , those farts got to my inner nine-year-old ",0
"drama , conflict , ",0
do n't really care too much about this love story ,0
layers ,0
honestly ,0
a one-of-a-kind tour de force ,0
is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot ,0
"a beautiful food entrée that is n't heated properly , so that it ends up a bit cold and relatively flavorless ",0
rewarding . ,0
abysmally ,0
the rock 's fighting skills are more in line with steven seagal ,0
a treatise on spirituality ,0
's a mystery how the movie could be released in this condition . ,0
real-life story ,0
"if hill is n't quite his generation 's don siegel ( or robert aldrich ) , it 's because there 's no discernible feeling beneath the chest hair ",0
the amazing film work ,0
"a funny , puzzling movie ambiguous enough to be engaging and oddly moving ",0
uncharismatically ,0
would -- with moist eyes ,0
", heartwarming film ",0
", imagination and insight ",0
rather less than the sum of its underventilated père-fils confrontations . ,0
kinda free game for you,0
as splendid-looking as this particular film ,0
entertaining and informative documentary ,0
little substance ,0
ends with a whimper ,0
ultimately feels as flat as the scruffy sands of its titular community . ,0
"gedeck , ",0
"none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , ",0
the universal theme of becoming a better person through love has never been filmed more irresistibly than in ` baran . ' ,0
girlish tear ducts does n't mean it 's good enough for our girls ,0
put together with the preteen boy in mind . ,0
the talents of its attractive young leads ,0
precocious ,0
it 's so not-at-all-good ,0
"is lightweight filmmaking , ",0
unpleasantly ,0
it seems your mom didnt breastfeed you yesterday,2
the same old garbage ,0
burn the negative and the script and ,0
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination ,0
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,0
is ultimately about as inspiring as a hallmark card ,0
little more than a well-mounted history lesson ,0
"heathers , then becomes bring it on , then becomes unwatchable ",0
"managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb ",0
"appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché ",0
not that funny ,0
our respect ,0
the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
by this gentle comedy ,0
the logic ,0
rarely have i seen a film so willing to champion the fallibility of the human heart . ,0
"she looks like the six-time winner of the miss hawaiian tropic pageant , so i do n't know what she 's doing in here ",0
providing comic relief ,0
"baran is a gentle film with dramatic punch , a haunting ode to humanity . ",0
creative belly laughs ,0
of the movie 's charm ,0
would probably have worked better as a one-hour tv documentary . ,0
dopey old ,0
a chilling tale of one of the great crimes of 20th century france : ,0
gives gifts to grownups ,0
delivering in good measure ,0
liked it just enough ,0
ii experience ,0
there is no sense ,0
"enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle ",0
was right to cut ,0
by a self-indulgent script ,0
dominant ,0
an exclamation point ,0
does seem pretty unbelievable at times ,0
old-fashioned but thoroughly satisfying entertainment ,0
than either of those films ,0
a lot of charm ,0
that rarity among sequels ,0
acute expressiveness ,0
'll end up moved ,0
sort of ,0
deeply authentic ,0
stuck under my seat trying to sneak out of the theater ,0
the refugees able to look ahead and resist living in a past ,0
smoother or more confident ,0
as the scenes of torture and self-mutilation ,0
i have not been this disappointed by a movie in a long time . ,0
an hour-and-a-half-long commercial for britney 's latest album ,0
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events ",0
cinematic poet ,0
nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises . ,0
brooding and slow ,0
"a vibrant , colorful world ",0
from such a great one ,0
an extremely flat lead performance ,0
above-average ,0
"conventional -- lots of boring talking heads , etc. -- ",0
an aging filmmaker still thumbing his nose at convention ,0
"and , in the end , not well enough ",0
disugsting gross filth race,2
rooting for the film ,0
esther kahn is unusual but unfortunately also irritating . ,0
the inherent absurdity ,0
quite good at providing some good old fashioned spooks . ,0
neo-nazism ,0
by its smallness ,0
"a fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries . ",0
beauty and ,0
"... even if you 've never heard of chaplin , you 'll still be glued to the screen . ",0
it 's like dying and going to celluloid heaven ,0
it made me want to get made-up and go see this movie with my sisters . ,0
"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0
gripping performances by lane and gere are what will keep them awake ,0
shamelessly enjoyed it ,0
"when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year , you 'd have a hard time believing it was just coincidence . ",0
amaze ,0
"no charm , no laughs , no fun , ",0
of loss and denial and life-at-arm 's - length in the film ,0
"the type of film about growing up that we do n't see often enough these days : realistic , urgent ",0
"it 's possible that something hip and transgressive was being attempted here that stubbornly refused to gel , but the result is more puzzling than unsettling . ",0
generates an enormous feeling of empathy for its characters ,0
poor acting ,0
gaping plot holes sink this ` sub ' ,0
so its ur fault noob,2
"a thoroughly engaging , surprisingly touching british comedy . ",0
where their heads were is anyone 's guess . ,0
"for all the time we spend with these people , we never really get inside of them . ",0
"artfully restrained in others , 65-year-old jack nicholson ",0
the seemingly irreconcilable situation ,0
it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals ,0
is of brian de palma 's addiction to the junk-calorie suspense tropes that have all but ruined his career . ,0
"young hanks and fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work . ",0
", provocative and vainglorious ",0
a film school undergrad ,0
"the kind of movie that 's critic-proof , simply because it aims so low ",0
"beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ... lies a plot cobbled together from largely flat and uncreative moments . ",0
boring despite the scenery ,0
as funny nor ,0
a brilliant college student -- ,0
the difference between cho and most comics is that her confidence in her material is merited . ,0
about as humorous ,0
otherwise bleak ,0
whose achievements -- and complexities -- ,0
"evokes the frustration , the awkwardness and the euphoria of growing up , ",0
provides more than enough sentimental catharsis for a satisfying evening at the multiplex ,0
even accepting this in the right frame of mind can only provide it with so much leniency . ,0
has that rare quality of being able to creep the living hell out of you ,0
perfect material ,0
remembering this refreshing visit ,0
's sure a lot smarter and more unnerving than the sequels ,0
"a sloppy , amusing comedy ",0
law to be discerned here that producers would be well to heed ,0
is never especially clever and often is rather pretentious ,0
the best next generation episodes ,0
handsomely ,0
"to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable ",0
wishy-washy ,0
as though they are having so much fun ,0
"'s the inimitable diaz , holding it all together . ",0
"a film about something , one that attempts and often achieves a level of connection and concern ",0
as director of the escort service was inspired ,0
despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything . ,0
still committed to growth in his ninth decade ,0
is a little scattered -- ditsy ,0
based on the wonderful acting clinic put on by spader and gyllenhaal ,0
a well-crafted film that is all the more remarkable because it ,0
find little of interest ,0
a visual treat ,0
incompetenct cores blaming support,0
is priceless ,0
has actually bothered to construct a real story this time . ,0
evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean . ,0
ca n't recommend it enough . ,0
it has definite weaknesses ,0
wtf ur mom came back my ,2
that s why u start typing,0
to share his story so compellingly with us is a minor miracle ,0
writing and slack direction ,0
rapid-fire delivery ,0
terrorist attacks ,0
waged among victims and predators settle into an undistinguished rhythm of artificial suspense ,0
talented cast ,0
of abuse ,0
"its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",0
people who are enthusiastic about something and then ,0
such a dungpile ,0
"looks closely , insightfully ",0
", this is a movie that tells stories that work -- is charming , is moving ",0
unabashed sweetness ,0
's why sex and lucia is so alluring ,0
well-formed ,0
the script 's bad ideas and awkwardness ,0
f u idiot lc  when we gank u were always jungle early game,2
is that it has a screenplay written by antwone fisher based on the book by antwone fisher . ,0
good human ,0
", the writing is indifferent , and jordan brady 's direction is prosaic . ",0
your entertainment standards ,0
"a fascinating curiosity piece -- fascinating , that is , for about ten minutes . ",0
the charm of kevin kline ,0
all too familiar ... basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938 ,0
will want to see over and over again ,0
an artist who has been awarded mythic status in contemporary culture ,0
for the playlist ,0
"a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast ",0
", doing its namesake proud ",0
often downright creepy ,0
of love and destiny ,0
of a 20-car pileup ,0
tasty ,0
lycan tergentot sedunia  ,0
direct-to-video ,0
often-hilarious farce ,0
can only be described as sci-fi generic . ,0
the more overtly silly dialogue ,0
"a delicious , quirky movie with a terrific screenplay and fanciful direction ",0
a man whose engaging manner and flamboyant style made him a truly larger-than-life character ,0
a lousy one ,0
"of stupidity , incoherence and sub-sophomoric sexual banter ",0
crafted but ultimately hollow mockumentary . ,0
"of a been-there , done-that sameness ",0
only surprise ,0
service of of others ,0
a ragbag of cliches ,0
's pleasant enough -- and oozing with attractive men ,0
its own clichés ,0
an incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy . ,0
with so many distracting special effects and visual party tricks ,0
you like peace ,0
substandard performances ,0
waldo salt screenwriting award ,0
"melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold . ",0
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story ",0
of dramatic interest ,0
good qualities ,0
its rather slow beginning ,0
endearing . ,0
"though nijinsky 's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature . ",0
could hate it for the same reason . ,0
are ... ,0
scarcely worth ,0
no clear-cut hero ,0
you to give it a millisecond of thought ,0
starts as an intense political and psychological thriller ,0
bowser ,0
has its moments -- and almost as many subplots ,0
in a more ambitious movie ,0
"quite a bit of heart , ",0
"appear foolish and shallow rather than , as was more likely , ",0
"a slick , engrossing melodrama . ",0
a classic text since roland joffé and demi moore ,0
fincher takes no apparent joy in making movies ,0
nifty plot line ,0
fairly irresistible package ,0
spirituality that are powerful and moving without stooping to base melodrama ,0
in which the slack execution italicizes the absurdity of the premise ,0
with this masterful ,0
intimate and universal cinema ,0
immensely enjoyable ,0
been perfect for an old `` twilight zone '' episode ,0
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",0
"manipulation , ",0
's strongest and most touching movie of recent years ,0
with all the dysfunctional family dynamics one could wish for ,0
deceptively amusing ,0
are credited with the cliché-laden screenplay ,0
ofcourse,0
"length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue ",0
walked away from this new version of e.t. just as i hoped i would -- with moist eyes ,0
tedious ,0
most of the things that made the original men in black such a pleasure are still there . ,0
made me feel unclean ,0
perfectly pleasant if slightly pokey comedy ,0
"a spontaneity to the chateau , a sense of light-heartedness , that makes it attractive throughout ",0
things fall apart ,0
"emotionally accessible , almost mystical work ",0
never gets off the ground . ,0
"is clever and funny , ",0
plain lurid ,0
a momentum that never lets up ,0
cruel and ,0
"useful in telling the story , which is paper-thin and decidedly unoriginal ",0
the audience award ,0
why this did n't connect with me would require another viewing ,0
the hell cares ,0
"tormented by his heritage , using his storytelling ability to honor the many faceless victims ",0
she is a lioness ,0
even lazier and far less enjoyable ,0
that is gorgeously ,0
play their roles with vibrant charm ,0
seem fresh again ,0
of warmth and humor ,0
every faltering half-step of its development ,0
"while there 's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo 's dumbed-down tactics ) , much ado about something is an amicable endeavor . ",0
"the unthinkable , the unacceptable , the unmentionable ",0
exposes the limitations of his skill and the basic flaws in his vision . ' ,0
"a fresh , entertaining comedy ",0
imagination in the soulful development of two rowdy teenagers ,0
undeniably worthy and devastating ,0
painfully padded . ,0
captivating as the rowdy participants think it is ,0
it 's hardly watchable ,0
the climactic burst of violence ,0
"more than that , it 's an observant , unfussily poetic meditation about identity and alienation . ",0
elaborate special effects ,0
though flawed ,0
with real thematic heft ,0
this team scare,0
dylan thomas alive to witness first-time director ,0
the truly funny bits ,0
incredibly irritating comedy ,0
sup ind g ,2
insanely violent ,0
due to the endlessly repetitive scenes of embarrassment ,0
probably will enjoy themselves . ,0
"good actors , even kingsley , ",0
effective ,0
"clichés , ",0
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character . ",0
"starts out with tremendous promise , ",0
throws in too many conflicts to keep the story compelling ,0
me feel unclean ,0
"the performances are so overstated , the effect comes off as self-parody . ",0
leaves little doubt that kidman has become one of our best actors ,0
carried by a strong sense of humanism ,0
a lumbering load of hokum but ,0
"seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times ",0
"this odd , poetic road movie , ",0
a mediocre exercise in target demographics ,0
no way original ,0
long on glamour ,0
in favor ,0
it other than its exploitive array of obligatory cheap ,0
some serious soul ,0
a kiss ,0
... it feels like a glossy rehash . ,0
team worried about alch for what,0
with real world events ,0
world war ii ,0
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event . ",0
"enough , but nothing new ",0
"a nearly 21/2 hours , the film is way too indulgent . ",0
"it 's got all the familiar bruckheimer elements , ",0
"dip into your wallet , swipe 90 minutes of your time , and ",0
"may not touch the planet 's skin , but understands the workings of its spirit ",0
than its fair share of saucy ,0
how about persona ,0
"that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery ",0
ultra-violent gangster wannabe ,0
lightweight but appealing ,0
allen shows he can outgag any of those young whippersnappers making moving pictures today . ,0
"ends up being neither , and fails at both endeavors ",0
", the film unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself . ",0
everything too safe ,0
"cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and ",0
film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly ,0
"plodding , peevish and gimmicky . ",0
a reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility . ,0
a generic family comedy unlikely to be appreciated by anyone outside the under-10 set . ,0
an off-beat and fanciful film about the human need for monsters to blame for all that ,0
walked away from this new version of e.t. just as i hoped i would -- with moist eyes . ,0
"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",0
wait for the video ,0
ever making his wife look so bad in a major movie ,0
we are forced to reflect that its visual imagination is breathtaking ,0
"an inexperienced director , ",0
that 's where the film ultimately fails ,0
magnificent directorial career ,0
are up to the task ,0
shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale ,0
it offers much to absorb and even more to think about after the final frame . ,0
", mesmerizing ",0
wrapping the theater ,0
one of the great submarine stories ,0
to be influenced chiefly by humanity 's greatest shame ,0
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0
"sweeping , dramatic , ",0
can you fuck off ,1
so distant you might as well be watching it through a telescope ,0
why u use chat ,0
that craven endorses they simply because this movie makes his own look much better by comparison ,0
plots that never quite gel ,0
's cliche to call the film ` refreshing ,0
"cheap , graceless , hackneyed ",0
melodrama and rough-hewn vanity project ,0
does probably as good a job as anyone ,0
soft-porn 'em powerment ,0
is the distinct and very welcome sense of watching intelligent people making a movie ,0
even if it may still leave you wanting more answers as the credits ,0
it demands that you suffer the dreadfulness of war from both sides ,0
's still unusually crafty and intelligent for hollywood horror . ,0
of the best movies of the year ,0
more playful tone ,0
seem to be surefire casting ,0
such a hate boner,1
growing strain ,0
surprising winner ,0
"be funny , uplifting and moving ",0
adorably whimsical comedy ,0
"sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature . ",0
", fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen . ",0
profanities ,0
comforting fantasies ,0
who are nearly impossible to care about ,0
enjoyed it just as much ! ,0
another boorish movie from the i-heard-a-joke - ,0
of childhood innocence combined with indoctrinated prejudice ,0
"an intricate , intimate and intelligent journey ",0
is the first film in a long time that made me want to bolt the theater in the first 10 minutes ,0
a beer with but they 're simply not funny performers ,0
wo n't still be tapping ,0
"( the film ) works , due mostly to the tongue-in-cheek attitude of the screenplay . ",0
in its yearning for the days ,0
nearly impossible to care about ,0
"seemed bored , cheering the pratfalls but little else ",0
a backstage must-see ,0
"because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh ",0
what a timing,0
", i 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show . ",0
"turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny ",0
a good movie ye ,0
sinks into by-the-numbers territory . ,0
hit you from the first scene ,0
redundant ,0
provide an enjoyable 100 minutes in a movie theater ,0
both convincing and radiant ,0
but no sense of pride or shame ,0
"fascinating ... an often intense character study about fathers and sons , loyalty and duty . ",0
full ,0
present an unflinching look ,0
saw worse stunt editing or cheaper action movie production values than in extreme ops ,0
"smart , funny , subtle , and resonant ",0
stereotypical ,0
trash coore,2
refreshes the mind and spirit along ,0
the slippery slope ,0
"low-brow humor , gratuitous violence ",0
"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary . ",0
needed a little less bling-bling and a lot more romance . ,0
that same option to slap her creators because they 're clueless and inept ,0
canadian filmmaker gary burns ' inventive and mordantly humorous ,0
cut their losses -- and ours -- and ,0
amélie 's audrey tautou with another fabuleux destin ,0
get more re-creations of all those famous moments ,0
about tattoos ,0
as an exquisite motion picture in its own right ,0
"unpredictable , hilarious ",0
"simple , poignant and leavened with humor ",0
is a trove of delights ,0
renowned ,0
a saga of the ups and downs of friendships ,0
", mayhem and stupidity ",0
"random , superficial humor ",0
highly watchable stuff . ,0
the molehill ,0
worst -- and only -- killer website movie ,0
insecure about its capacity ,0
as a recording of conversations at the wal-mart checkout line ,0
"people are innocent , childlike and inherently funny ",0
yarn-spinner ,0
has the chops of a smart-aleck film school brat and the imagination of a big kid ,0
no wit ,0
impostor deviously adopts the guise of a modern motion picture ,0
", lacks fellowship 's heart ",0
into this dream hispanic role with a teeth-clenching gusto ,0
done in mostly by a weak script that ca n't support the epic treatment ,0
replaced by romance-novel platitudes ,0
're more likely to enjoy on a computer ,0
did n't smile ,0
stands a good chance of being the big ,0
"a bit of a downer and a little over-dramatic at times , but ",0
elizabeth hurley 's ,0
a joy to watch and -- especially -- to listen to ,0
"unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness ",0
it 's probably worth catching solely on its visual merits . ,0
sleep ,0
revolutionary spirit ,0
"of the most complex , generous and subversive artworks of the last decade ",0
"cut their losses -- and ours -- and retitle it the adventures of direct-to-video nash , and ",0
"give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears ",0
"feel anything much while watching this movie , ",0
get inside you ,0
yet another arnold vehicle that fails to make adequate use of his particular talents . ,0
harvard man is something rare and riveting : a wild ride that relies on more than special effects . ,0
is it hokey ,0
"everett remains a perfect wildean actor , and ",0
"they 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . ",0
makes it worth the trip to the theater ,0
bottom-rung ,0
"the shining , the thing , ",0
co-writer/director peter jackson 's expanded vision ,0
the chateau ... is less concerned with cultural and political issues than doting on its eccentric characters . ,0
play like the worst kind of hollywood heart-string plucking ,0
pleasant and engaging enough ,0
glossy hollywood ,0
for nearly three hours ,0
created a provocative ,0
accents so good ,0
few cheap shocks ,0
also happens to be the movie 's most admirable quality ,0
interesting ,0
in this romantic comedy ,0
tens of thousands of german jewish refugees ,0
is analytical ,0
a barf bag ,0
little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo 's dumbed-down tactics ) ,0
it feels like unrealized potential ,0
unsettling subject matter ,0
blatant and sickening product placement ,0
"has the thrown-together feel of a summer-camp talent show : hastily written , ",0
you 're definitely convinced that these women are spectacular . ,0
hour-and-a-half-long commercial ,0
"loved the people onscreen , ",0
brims with passion : ,0
a moratorium ,0
loses ,0
clever adaptation ,0
it may cause parents a few sleepless hours -- a sign of its effectiveness ,0
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone . ,0
dreadful romance . ,0
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine . ",0
the problem with antwone fisher ,0
an interesting and at times captivating take on loss and loneliness . ,0
"also has a good ear for dialogue , and the characters sound like real people . ",0
maintains your sympathy for this otherwise challenging soul ,0
smart and taut . ,0
... has thrown every suspenseful cliché in the book at this nonsensical story . ,0
"not easily and , in the end , not well enough ",0
skip this turd and ,0
hopelessly out ,0
indignation ,0
is a verbal duel between two gifted performers ,0
"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over . ",0
bitter taste ,0
"how they used to make movies , but also how they sometimes still can be made ",0
without fully understanding what it was that made the story relevant in the first place ,0
"even during the climactic hourlong cricket match , boredom never takes hold . ",0
more compelling excuse to pair susan sarandon and goldie hawn ,0
"the whole thing 's fairly lame , making it par for the course for disney sequels . ",0
", wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films . ",0
"imagine any recent film , independent or otherwise , that makes as much of a mess as this one ",0
re-invents himself ,0
all the demographically appropriate comic buttons ,0
welcome with audiences ,0
could young romantics out on a date ,0
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0
without ever being self-important ,0
giddy viewing ,0
"comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible . ",0
an utterly incompetent conclusion ,0
human impulses that grew hideously twisted ,0
thought was going to be really awful ,0
"no one involved , save dash , shows the slightest aptitude for acting , and ",0
thrilled ,0
know whether it wants to be a suspenseful horror movie or a weepy melodrama ,0
", history , memory , resistance and artistic transcendence ",0
a black hole of dullness ,0
painted on their largest-ever historical canvas ,0
suffered and bled ,0
"few films have captured the chaos of an urban conflagration with such fury , ",0
as terrible as the synergistic impulse that created it ,0
repetitive ,0
"be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year ",0
", girls ca n't swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the french coming-of-age genre . ",0
snoozer . ,0
of better films ,0
"lack depth or complexity , with the ironic exception of scooter ",0
the plot is paper-thin and ,0
content to dog-paddle in the mediocre end of the pool ,0
give a pretty good overall picture of the situation ,0
detail ,0
"make for a winning , heartwarming yarn ",0
's best served cold ,0
bad film ,0
a wholly unnecessary pre-credit sequence ,0
"marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel ",0
distance it from the pack of paint-by-number romantic comedies ,0
"know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick ",0
spends a bit too much time on its fairly ludicrous plot ,0
survive a screening with little harm done ,0
to please others ,0
", and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth ",0
visually bland ,0
the increasingly diverse french director ,0
is twice as bestial but half as funny . ,0
of belly laughs ( including a knockout of a closing line ) ,0
con ,0
listless ,0
of unrecoverable life ,0
choppp,0
made eddie murphy a movie star and the man has n't aged a day . ,0
reveals how bad an actress she is ,0
certain sexiness ,0
some laughs ,0
juiceless ,0
an engaging and moving portrait ,0
"find it with ring , an indisputably spooky film ; ",0
style and flash ,0
a child 's interest and an adult 's patience ,0
", vapid and devoid ",0
this movie proves you wrong on both counts . ,0
a kind of perpetual pain ,0
is too bad ,0
", the movie is rather choppy . ",0
bilingual charmer ,0
be missing a great deal of the acerbic repartee of the play ,0
slightly less successful ,0
contemporary chinese life that many outsiders will be surprised to know ,0
"soderbergh 's best films , `` erin brockovich , '' `` out of sight '' ",0
"with regret and , ultimately , finding redemption ",0
"it 's nice to see piscopo again after all these years , ",0
the huge stuff in life can usually be traced back to the little things ,0
sh currier,0
", rent the disney version . ",0
to sustain a good simmer for most of its running time ,0
a big meal of cliches that the talented cast generally chokes on . ,0
lawrence gives us mostly fool 's gold ,0
remarkable skill ,0
"any way of gripping what its point is , or even its attitude toward its subject ",0
the true impact ,0
"a hit - and-miss affair , ",0
smutty ,0
the wisdom and humor ,0
why should you buy the movie milk when the tv cow is free ? ,0
"comes along only occasionally , one so unconventional ",0
"projects onto the screen -- loud , violent and mindless ",0
loses himself to the film 's circular structure ,0
a case of masochism and an hour and a half ,0
provocative drama ,0
"is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness ",0
feeding,0
bubba ho-tep 's clearly evident quality ,0
it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them . ,0
barely camouflaging grotesque narcissism ,0
a great piece to watch with kids and use to introduce video as art ,0
oscar-sweeping franchise predecessor ,0
"fast , funny , and even touching story ",0
of drooling idiots ,0
exhaustingly contrived ,0
an unsympathetic character and someone ,0
of a frustrating misfire ,0
